slug,code_commune,nom_ville,code_postal,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
narbonne_11262,11262,Narbonne,11100,5.36,5.52,4.19,4.8,5.16,5.93,5.5,5.48,5.36,5.47
port-la-nouvelle_11266,11266,Port La Nouvelle,11210,5.6,6.05,5.89,5.21,5.58,6.32,3.95,5.21,5.0,5.79
sigean_11379,11379,Sigean,11130,5.91,5.29,4.71,5.57,5.29,6.86,5.71,6.43,6.71,6.0
trebes_11397,11397,Trebes,11800,4.7,4.6,4.8,3.5,5.5,5.7,4.1,5.5,5.4,4.5
villemoustaussou_11429,11429,Villemoustaussou,11620,5.25,6.0,1.5,4.5,8.5,7.5,3.5,7.0,5.5,5.0
aubin_12013,12013,Aubin,12110,3.5,4.5,1.5,3.25,3.25,4.25,3.0,4.0,4.25,3.5
capdenac-gare_12052,12052,Capdenac Gare,12700,6.16,7.5,3.0,6.5,3.5,5.0,3.5,4.5,5.0,7.5
decazeville_12089,12089,Decazeville,12300,3.87,4.07,3.53,4.07,3.07,4.07,3.93,4.87,2.87,3.93
espalion_12096,12096,Espalion,12500,8.88,9.0,8.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0
luc-la-primaube_12133,12133,Luc La Primaube,12450,6.32,6.0,3.67,8.33,8.0,6.67,5.33,5.33,7.0,6.33
millau_12145,12145,Millau,12100,5.32,5.86,4.03,4.81,4.14,7.33,5.35,5.14,4.58,5.48
onet-le-chateau_12176,12176,Onet Le Chateau,12850,8.24,9.25,5.25,8.25,8.0,9.0,7.25,5.75,7.0,9.0
rodez_12202,12202,Rodez,12000,7.33,8.1,5.42,7.59,5.76,7.21,7.37,7.45,6.91,7.69
saint-affrique_12208,12208,Saint Affrique,12400,6.7,6.67,6.83,6.67,5.67,7.83,5.83,7.17,5.83,6.83
severac-d-aveyron_12270,12270,Severac D'Aveyron,12150,5.19,3.0,2.0,9.0,5.0,3.0,1.0,3.0,1.0,7.0
villefranche-de-rouergue_12300,12300,Villefranche De Rouergue,12200,7.08,7.59,5.85,6.38,6.39,7.63,7.16,7.42,6.15,7.34
aix-en-provence_13001,13001,Aix En Provence,13090,6.64,5.76,4.66,6.46,7.06,6.72,7.47,7.47,7.06,6.69
allauch_13002,13002,Allauch,13190,7.02,6.94,4.91,6.94,6.66,6.75,6.66,7.25,6.44,7.47
arles_13004,13004,Arles,13200,4.62,4.12,4.16,3.49,4.47,4.59,6.69,5.13,4.8,4.56
aubagne_13005,13005,Aubagne,13400,5.21,4.48,6.79,3.59,6.02,6.22,5.44,5.6,5.82,4.93
auriol_13007,13007,Auriol,13390,4.89,6.0,5.2,5.7,4.9,5.4,3.3,5.3,4.8,4.7
barbentane_13010,13010,Barbentane,13570,8.51,10.0,3.0,7.5,5.5,8.5,8.0,9.0,8.5,9.5
berre-l-etang_13014,13014,Berre L'Etang,13130,5.87,3.43,6.71,6.29,5.86,7.86,6.57,6.29,5.14,5.71
bouc-bel-air_13015,13015,Bouc Bel Air,13320,6.93,5.77,5.36,7.0,7.05,7.59,5.64,7.14,7.86,7.18
la-bouilladisse_13016,13016,La Bouilladisse,13720,5.34,5.78,6.56,4.0,5.78,6.11,4.67,5.56,5.22,5.22
cabannes_13018,13018,Cabannes,13440,5.62,7.13,3.25,5.0,4.75,6.0,4.25,5.5,5.0,6.13
cabries_13019,13019,Cabries,13480,5.63,8.5,2.5,7.0,4.5,6.0,3.5,5.0,5.0,6.0
carry-le-rouet_13021,13021,Carry Le Rouet,13620,7.43,7.06,5.31,8.88,6.94,6.44,5.94,6.69,7.06,8.06
cassis_13022,13022,Cassis,13260,7.72,8.71,5.53,7.71,7.18,6.59,6.35,6.53,5.76,8.65
ceyreste_13023,13023,Ceyreste,13600,7.08,7.29,5.14,6.57,7.29,5.86,7.0,6.43,6.0,7.71
chateauneuf-les-martigues_13026,13026,Chateauneuf Les Martigues,13220,6.21,4.7,5.24,5.73,5.94,7.55,6.67,5.91,6.03,6.45
